"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Rplp2",8.12725113205887e-10,-0.628792168728848,1,1,2.52375529403824e-05
"Rps7",1.73783531782114e-09,-0.566320343594565,0.971,1,5.39650001243e-05
"G3bp2",1.74816615449062e-09,1.26092685652537,0.824,0.333,5.42858035953974e-05
"Rpl35a",1.81184230836125e-09,-0.513306715067262,1,0.972,5.6263139201542e-05
"Rpl37a",2.14080122106673e-09,-0.560981231970672,1,1,6.64783003177851e-05
"Bpgm",2.42209430763877e-09,1.09652096795337,0.647,0.111,7.52132945351068e-05
"Rpl13a",2.47681794561813e-09,-0.887488905980921,0.765,0.958,7.69126276652797e-05
"Arpc5l",2.59479818710046e-09,1.13627125463932,0.941,0.569,8.05762681040307e-05
"Rps5",2.74547099219837e-09,-0.651578313221485,0.971,1,8.52551107207361e-05
"Rpl34",3.37378031641968e-09,-0.554526737011962,1,1,0.00010476600016578
"Rps24",3.66252774641079e-09,-0.524548012218907,1,1,0.000113732474109294
"Rps15a",3.66252774641079e-09,-0.576896970569666,1,1,0.000113732474109294
"Rpl37",3.97527729589844e-09,-0.60167469450113,0.971,1,0.000123444285869534
"Dlgap4",8.00914581814761e-09,0.876435924900539,0.618,0.097,0.000248708005090938
"Rps12",8.58162466633635e-09,-0.608217014947625,0.971,1,0.000266485190763743
"Armc1",1.2303270158857e-08,1.05067818313025,0.794,0.278,0.000382053448242986
"Ncl",1.31660135651311e-08,0.825406529685126,1,0.875,0.000408844219238017
"Rpl10",1.49692931320546e-08,-0.660834318365954,0.971,0.972,0.000464841459629691
"Alkbh7",1.70053184164266e-08,0.53395888664364,0.441,0.014,0.000528066152785295
"Gtsf1",2.1440575062223e-08,1.06216928919733,0.912,0.5,0.000665794177407211
"Serf2",2.68035089439151e-08,0.677164448818772,1,0.903,0.000832329363235396
"Vkorc1",2.76449410841536e-08,0.853121804304233,0.941,0.597,0.000858458355486222
"Ptpn18",2.80198840402074e-08,0.664910833272104,0.382,0,0.00087010145910056
"Rpl19",3.20438967503632e-08,-0.547355627374822,0.971,0.986,0.000995059125789028
"Rps27",3.52866913509878e-08,-0.520653885404463,0.971,1,0.00109575762652222
"Rpl14",6.25258257231784e-08,-0.452718575981386,1,1,0.00194161446618186
"Gm15389",6.73306310836722e-08,1.24936002049615,0.441,0.028,0.00209081808704127
"Rdx",7.22168821845606e-08,1.31294692529546,0.882,0.653,0.00224255084247716
"Cd164l2",7.88109498162586e-08,0.846393666291055,0.471,0.042,0.00244731642464428
"Pdzk1",8.03866066224571e-08,0.691502578899639,0.412,0.014,0.00249624529544716
"Sohlh1",8.14546600031694e-08,0.851300792882955,0.971,0.472,0.00252941155707842
"Eif4a1",1.06370922867837e-07,0.717994228575551,0.971,0.875,0.00330313626781493
"Rpl28",1.09647855683709e-07,-0.515697061756874,0.971,0.972,0.00340489486254622
"Calm1",1.15407660880708e-07,1.06726034478811,0.941,0.75,0.00358375409332862
"Rpl12",1.42056341048059e-07,-0.529496205641101,0.971,0.972,0.00441127555856538
"Mvp",1.65922270282019e-07,0.860901683090262,0.382,0.014,0.00515238425906753
"4921524J17Rik",1.66128346813749e-07,0.801142205154148,0.706,0.222,0.00515878355360735
"Tuba1c",1.78489837182814e-07,1.16594982375551,0.471,0.056,0.00554264491403791
"Rps16",1.97566853364501e-07,-0.531674444071504,1,0.972,0.00613504349752786
"Pkd2l2",1.99885696727795e-07,0.800200276448401,0.382,0.014,0.00620705054048821
"Kank3",2.60033890478981e-07,0.873240659207876,0.618,0.139,0.00807483240104379
"Setd4",2.66743337908908e-07,0.746973666260849,0.412,0.028,0.00828318087208531
"Xdh",2.82625542942844e-07,0.779172627027193,0.412,0.028,0.00877637098500413
"Sfr1",3.09193357627889e-07,1.10173268127291,0.912,0.625,0.00960138133441883
"Rbakdn",3.76751878369598e-07,0.697351300281164,0.412,0.028,0.0116992760790111
"Actb",4.10320627524855e-07,1.0076608817659,0.941,0.847,0.0127416864465293
"Wwc2",4.15310269869043e-07,0.921625412482205,0.471,0.056,0.0128966298102434
"Wasf2",4.18780978911652e-07,0.886930470734489,0.618,0.167,0.0130044057381435
"Zbed3",4.42408357019108e-07,0.597750942238104,0.441,0.042,0.0137381067105144
"Higd1a",4.71576421442706e-07,0.865795366955078,0.853,0.528,0.0146438626150604
"Reep5",4.8411402226223e-07,1.00038789114049,0.824,0.444,0.015033192733309
"Rpl31",4.84411063405376e-07,-0.428563253028067,1,0.986,0.0150424167519271
"Ccno",5.17177673994203e-07,0.696031138705404,0.559,0.097,0.016059918310542
"Drosha",5.19476890367998e-07,0.932802517250814,0.618,0.167,0.0161313158765975
"Ninj1",5.29649578893937e-07,0.998138888933083,0.794,0.389,0.0164472083733934
"Dynll1",5.87066091437149e-07,0.57264918118713,1,0.931,0.0182301633373978
"Hnrnpab",5.95024164053414e-07,0.821671853728702,0.706,0.222,0.0184772853663507
"Gm47448",7.5651665335612e-07,0.511968553657795,0.441,0.042,0.0234921116366676
"Rps19",9.40074016600511e-07,-0.400458972621261,1,1,0.0291921184374957
"Eci1",9.83456255700536e-07,0.76167759120822,0.412,0.042,0.0305392671082687
"Cks2",9.84366769372785e-07,0.786817467435959,0.971,0.833,0.0305675412893331
"Marveld2",1.14802166088889e-06,0.45744619988406,0.353,0.014,0.0356495166355828
"Rpl10a",1.27970209992636e-06,-0.537364481731787,0.941,1,0.0397385893090134
"Nudt16l1",1.28953943957217e-06,0.692056762193943,0.382,0.028,0.0400440682170344
"Gm47918",1.36401962967832e-06,0.605639591283307,0.382,0.028,0.0423569015604007
"Rps18",1.41725353091245e-06,-0.41878041239399,1,0.986,0.0440099738954244
"Hba-a2",1.7614699792589e-06,-0.430716658900084,0.824,0.417,0.0546989272659265
"Rnaset2b",1.98966558448863e-06,0.794145179729404,0.588,0.153,0.0617850853951254
"Naca",2.33879947677284e-06,0.599709686386971,0.971,0.917,0.0726267401522269
"Sdc1",2.36487788346278e-06,0.804254103176742,0.5,0.097,0.0734365529151698
"Syce2",2.39867418717866e-06,0.899832673016594,0.882,0.778,0.074486029534459
"Rpl36a",2.42582763483428e-06,-0.647938362421025,1,1,0.075329225544509
"Timm9",2.47024042818352e-06,0.714585217270653,0.529,0.111,0.076708376016383
"Txndc9",2.57501173744712e-06,0.932654132766737,0.676,0.278,0.0799618394829453
"Tomm7",2.74293775286811e-06,-0.644660157600636,0.794,0.903,0.0851764460398136
"Tyms",2.9349079477894e-06,0.53154733247723,0.324,0.014,0.0911376965027043
"Lonrf3",2.94760918338828e-06,0.791357409810229,0.471,0.083,0.0915321079717563
"Tle6",3.08990162687036e-06,0.886524367554222,0.647,0.208,0.0959507152192052
"Ppfibp2",3.11602634194549e-06,0.566610001485194,0.324,0.014,0.0967619659964334
"Bcl7c",3.47736885791631e-06,0.611521856517402,0.441,0.069,0.107982735144875
"Rpl17",3.48724423513056e-06,-0.412002948531398,0.971,1,0.108289395233509
"AC160336.1",3.50039674464638e-06,-1.70261373833847,0.088,0.569,0.108697820111504
"Ift43",3.54658768786996e-06,0.651288158809712,0.5,0.097,0.110132187471426
"Smn1",4.12505200005072e-06,0.676016169176579,0.706,0.278,0.128095239757575
"E2f5",4.40100266018992e-06,0.718360364499794,0.676,0.222,0.136664335606878
"Rpl7",4.4524465944626e-06,-0.489341368623531,0.971,0.986,0.138261824097847
"Cirbp",4.83730054660714e-06,0.723014591536963,0.941,0.681,0.150212693873792
"Sumo3",4.89382835573426e-06,1.0344562676362,0.824,0.472,0.151968051930616
"Ran",5.04784766859067e-06,0.685952209616635,0.941,0.736,0.156750813652746
"Ptma",5.14951379965112e-06,0.675165917582139,1,0.972,0.159907852020566
"Lmo1",5.92011402502592e-06,0.557927583794665,0.265,0,0.18383730081913
"Fh1",5.99603816326655e-06,0.627459006560607,0.794,0.347,0.186194973083916
"Kdm1b",6.28126802722878e-06,0.867097568779955,0.647,0.222,0.195052216049535
"Adrm1",6.71930282353898e-06,0.785173405732493,0.794,0.417,0.208654510579356
"Rpl22",6.87008001148739e-06,-0.423924198866711,0.971,1,0.213336594596718
"Akr1b3",7.18503246174273e-06,0.807440923672462,0.824,0.403,0.223116813034497
"Rnf8",7.22319551965509e-06,0.698830681234406,0.529,0.125,0.22430189047185
"Mat2b",7.78610082872551e-06,0.806522706880783,0.794,0.458,0.241781789034413
"Rpl32",8.17843658129312e-06,-0.363016806461228,1,1,0.253964991158895
"C1d",8.57747154601115e-06,0.659042965216726,0.765,0.361,0.266356223918284
"Zfand2b",8.77892109814204e-06,0.636524512084595,0.471,0.083,0.272611836860605
"Skp1a",9.5052574456939e-06,0.757730175180301,0.912,0.639,0.295166759461133
"Rps25",9.72151875405192e-06,-0.305294193070714,1,0.986,0.301882321869574
"Gm11808",9.76095725626923e-06,-0.703491875326381,0.676,0.889,0.303107005678928
"Ndufaf4",9.95300898913977e-06,0.5991006942877,0.647,0.208,0.309070788139757
"Rps10",1.1017820744848e-05,-0.400074419504445,0.971,0.986,0.342136387589764
"Ptp4a2",1.16582141699765e-05,0.740007307607783,0.559,0.167,0.362022524620282
"Arhgap10",1.20120114343886e-05,0.670017808159094,0.324,0.028,0.373008991072069
"Kif16b",1.25590245002021e-05,0.662218572219012,0.529,0.139,0.389995387804775
"Rps4x",1.26589132896732e-05,-0.569549159188106,0.941,0.958,0.393097234384222
"Tpd52",1.35355639521728e-05,0.442646011269402,0.412,0.056,0.420319867406822
"Drap1",1.44400459550687e-05,0.961130231336768,0.706,0.292,0.448406747042748
"Wdr43",1.52591743363206e-05,0.713530258653057,0.676,0.25,0.473843140665764
"Gm27164",1.54279647632228e-05,-0.956939310348128,0.5,0.764,0.479084589792356
