"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Psme2",5.76971416590401e-09,-0.770655551351508,0.025,0.388,0.000179166933993817
"Prmt1",5.8213162302095e-09,-0.583311121994441,0.086,0.487,0.000180769332896696
"Psma3",5.86075763939251e-09,-0.857499705074296,0.333,0.724,0.000181994106976056
"Hnrnpr",5.9855295193571e-09,-0.822883886325531,0.173,0.586,0.000185868648164596
"Prdx2",6.83083405045864e-09,-0.782203449285777,0.136,0.559,0.000212117889768892
"Gpx1",7.65109504184013e-09,-0.769709055040353,0.049,0.428,0.000237589454334262
"Taf7l",8.31098730604467e-09,1.24786831488193,0.556,0.25,0.000258081088814605
"Impdh2",8.54258977507521e-09,-0.848249631607332,0.086,0.48,0.00026527304028541
"Lsm7",9.45967223637608e-09,-0.830786686618342,0.259,0.671,0.000293751201956186
"Nudt21",9.58108086242564e-09,-0.780314788799905,0.198,0.618,0.000297521304020904
"Cox7b",9.87835603344616e-09,-1.08576314154821,0.136,0.52,0.000306752589906604
"Zcwpw1",1.0288275980881e-08,1.15893714631051,0.691,0.526,0.000319481834034298
"Gpi1",1.24130252092633e-08,-0.849372138669587,0.062,0.428,0.000385461671823252
"Mcm6",1.25975611472063e-08,-0.756348533517207,0.062,0.428,0.000391192066304197
"Tbcb",1.32072716448652e-08,-0.80159337375024,0.049,0.408,0.000410125406387999
"Terb1",1.37205282601874e-08,1.16341511574986,0.333,0.059,0.0004260635640636
"Ccnh",1.3833961699578e-08,-0.798346106143289,0.099,0.474,0.000429586012656995
"Calm2",1.40171878593416e-08,-0.559880165257964,0.469,0.849,0.000435275734596134
"Ifitm3",1.4594031846556e-08,-1.00204006299305,0.062,0.428,0.000453188470931104
"Tex19.1",1.53427899064705e-08,-0.946787469661095,0.049,0.408,0.00047643965496563
"mt-Cytb",1.59772259501899e-08,0.753419124430419,0.852,0.717,0.000496140797431247
"Pmm1",1.60075187570586e-08,-0.91356870940381,0.037,0.382,0.00049708147996294
"Wdr61",1.62590028559188e-08,-0.625837142320045,0.099,0.48,0.000504890815684846
"Id3",1.65025095543748e-08,-0.825936980130826,0.198,0.618,0.000512452429192001
"Sec61g",1.6736245514375e-08,-0.686483719033353,0.432,0.789,0.000519710631957886
"Rps10",1.73918845097696e-08,0.492311569508165,0.938,0.967,0.000540070189681875
"Phb2",1.79836612237572e-08,-0.661838446823673,0.111,0.513,0.000558446631981333
"Rps6",1.83960000828664e-08,-0.4052611764289,0.84,0.987,0.000571250990573249
"Idh3g",2.35600673630049e-08,-0.691471463874178,0.123,0.513,0.000731610771823391
"Hist1h1e",2.36502374182399e-08,1.41650494960053,0.358,0.079,0.000734410822548604
"Rpl8",2.50209586413349e-08,-0.374551349716977,0.827,0.967,0.000776975828689373
"Rpl39",2.62908871781291e-08,-0.385410253582552,0.951,0.993,0.000816410919542443
"Pdpn",3.00785810091833e-08,-0.799725135656793,0,0.309,0.000934030176078169
"Jund",3.03200554767595e-08,-0.688959592531867,0.049,0.408,0.000941528682719812
"Asna1",3.14265325557467e-08,-0.801942513757381,0.012,0.329,0.000975888115453603
"Nme1",3.14386904773498e-08,-0.640935953472352,0.222,0.638,0.000976265655393144
"Rps17",3.16406881259586e-08,-0.370952455760793,0.901,0.98,0.000982538288375392
"Mcmbp",3.60523649045057e-08,-0.806611892366762,0.062,0.421,0.00111953408737962
"Rplp2",4.0897787287845e-08,-0.334423618824861,0.951,1,0.00126999898864945
"Pfdn4",4.13884806520387e-08,-0.766452722925996,0.099,0.461,0.00128523648968776
"Slc39a1",4.19308147285583e-08,-0.87053418606662,0.012,0.329,0.00130207758976592
