"","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
"Clpp",4.32129090322606e-07,0.367633274558253,0.458,0.086,0.0134189046417879
"Maea",4.58156884096806e-07,0.455319528666833,0.361,0.037,0.0142271457218581
"Eif4a3",4.65407973865674e-07,0.285602424688793,0.528,0.111,0.0144523138124508
"Gm17018",5.02837862537306e-07,0.544605099004466,0.333,0.025,0.015614624145371
"Snhg6",5.24245484243411e-07,0.460191823451978,0.431,0.074,0.0162793950222106
"Sin3b",5.34024615601003e-07,0.427212754440755,0.778,0.296,0.0165830663882579
"Taf9b",5.41521502768001e-07,0.582103403578022,0.361,0.037,0.0168158672254547
"Psmb3",5.59106221700498e-07,0.368319033841023,0.542,0.123,0.0173619255024656
"Rbm38",5.73346311724694e-07,0.590822927088774,0.306,0.012,0.0178041230179869
"Atp6v1d",5.7613408749669e-07,0.389531013291933,0.75,0.272,0.0178906918190347
"Fkbp2",5.83703816978453e-07,0.50996936438323,0.542,0.136,0.0181257546286319
"Mrps18a",5.84315970277737e-07,0.381853478463093,0.528,0.123,0.0181447638250346
"Pnrc1",5.87763147627443e-07,0.379855758126681,0.514,0.111,0.018251809023275
"Grcc10",5.91087430105523e-07,0.611344438560146,0.306,0.012,0.0183550379670668
"Gm364",5.95293115783832e-07,0.395477544605695,0.458,0.086,0.0184856371244353
"Lamtor5",5.97368346034833e-07,0.337035516285158,0.861,0.358,0.0185500792494197
"Atp5g1",6.35051182912664e-07,0.465704210139284,0.819,0.309,0.019720244382987
"Ndufc1",6.4016646155099e-07,0.519373603569528,0.917,0.469,0.0198790891305429
"Magoh",6.97622069192274e-07,0.453086610857378,0.639,0.21,0.0216632581146277
"Smc2",7.01909749568861e-07,0.290814745338554,0.556,0.136,0.0217964034533618
"Krtcap2",7.05685738959098e-07,0.458219430107469,0.653,0.222,0.0219136592518969
"Dtymk",7.34905974125594e-07,0.428429292322498,0.528,0.123,0.0228210352145221
"Smim19",7.78375976190057e-07,0.397848952992988,0.458,0.086,0.0241709091886298
"Dppa3",7.82767226062713e-07,1.01996786395195,0.319,0.025,0.0243072706709254
"Cox7b",7.83113496790817e-07,0.510398924966962,0.542,0.136,0.0243180234158452
"Snrpb",7.88309571021e-07,0.443409370205008,0.667,0.222,0.0244793771089151
"Stmn1",7.98875140298876e-07,0.562583545892658,0.806,0.309,0.024807469731701
"Spcs1",8.0003258384136e-07,0.358776000653684,0.403,0.062,0.0248434118260258
"Gab3",8.07603321258577e-07,0.587348621628336,0.389,0.049,0.0250785059350426
"Rps19",8.57306457521981e-07,0.335054711653284,1,0.975,0.0266219374254301
"Knop1",8.68345344659333e-07,0.407520927341265,0.611,0.185,0.0269647279877063
"Mrps24",9.05826786236074e-07,0.497749860552797,0.778,0.296,0.0281286391929888
"Tsga8",9.27101584909246e-07,0.698733074466696,0.264,0,0.0287892855161868
"Drg1",9.4962600285084e-07,0.354137118100892,0.486,0.111,0.0294887362665271
"Snrpf",9.56112103685554e-07,0.580175011111976,0.917,0.42,0.0296901491557475
"Tmem258",9.71815291263165e-07,0.392125604954463,0.931,0.395,0.030177780239595
"Naa20",9.82659199392818e-07,0.381723499191706,0.458,0.099,0.0305145161187452
"Faim",9.96657563429946e-07,0.473574035545721,0.347,0.037,0.0309492073171901
"Fmr1nb",1.00576608690058e-06,0.497723411682456,0.694,0.247,0.0312320542965238
"Nxf2",1.03321888536594e-06,0.70390250657956,0.292,0.012,0.0320845460472686
"Txnl4a",1.07170554220735e-06,0.351456980283747,0.569,0.148,0.0332796722021649
"Higd2a",1.09032660782849e-06,0.318186943014443,0.472,0.099,0.0338579121528981
"Pbdc1",1.09879577448877e-06,0.31042446009972,0.694,0.222,0.0341209051851999
"Sirt2",1.11566043925083e-06,0.457494127640656,0.403,0.062,0.034644603620056
"Polr2h",1.13670844586239e-06,0.554501021790951,0.431,0.074,0.0352982073693649
"Rps10",1.1856596826412e-06,-0.484725056897076,0.986,0.938,0.0368182901250571
"Dpm1",1.19132774673893e-06,0.340145079990219,0.444,0.086,0.0369943005194838
"Akr7a5",1.21767859916253e-06,0.281199803198849,0.556,0.148,0.0378125735397941
"Ndufa11",1.26216118077061e-06,0.538559953336182,0.903,0.407,0.0391938911464699
"Rpl36a",1.33411408631076e-06,0.486199274368957,1,0.889,0.0414282447222079
"Exosc9",1.34511364402055e-06,0.459054791399668,0.5,0.123,0.04176981398777
"Cox8a",1.35228884656317e-06,0.51789433339968,0.458,0.086,0.041992625552326
"Psma3",1.3708643045935e-06,0.449160842304715,0.847,0.333,0.0425694492505421
"Ndufa3",1.44680545336329e-06,0.499466058773647,0.722,0.247,0.0449276497432901
"Fdps",1.501884027462e-06,0.449593019703342,0.347,0.037,0.0466380047047775
"Rpl7l1",1.5059253206349e-06,0.410777737846476,0.417,0.074,0.0467634989816755
"Brd9",1.5486217966848e-06,0.43271125540418,0.472,0.099,0.048089352652453
"Ube2i",1.61749974631056e-06,0.470065491786687,0.792,0.333,0.0502282196221817
"Lars2",1.63014000293199e-06,-1.3414969927787,0.042,0.346,0.050620737511047
"Akr1b3",1.67177109655728e-06,0.742391643034296,0.403,0.074,0.0519135078613932
"Cirbp",1.73950052307167e-06,0.447051512563862,0.681,0.247,0.0540167097429444
"Rps21",1.80565576337028e-06,0.333719487296373,1,0.914,0.0560710284199371
"Cct7",1.90890013931924e-06,0.505897567375137,0.833,0.309,0.0592770760262805
"Snf8",2.05877340768905e-06,0.375404193839276,0.625,0.198,0.063931090628968
"Rps20",2.07078825885616e-06,0.332431343766556,1,1,0.0643041878022602
"Mrpl55",2.12238598637854e-06,0.30853857814872,0.667,0.198,0.065906452035013
"Ndufa10",2.12795936462346e-06,0.316926035772628,0.708,0.247,0.0660795221496523
"Mageb4",2.1388653069806e-06,0.633090261570191,0.403,0.074,0.0664181843776685
"Bax",2.15828176348637e-06,0.336466722159598,0.694,0.21,0.0670211236015422
"Tma7",2.20394892304888e-06,0.407517876367423,0.556,0.16,0.068439225907437
"Map2k2",2.25267028621193e-06,0.556816302069455,0.5,0.123,0.069952170397739
"Mat2b",2.28666006440694e-06,0.299954754444143,0.458,0.099,0.0710076549800288
"Spc24",2.31143273176956e-06,0.393437146660348,0.472,0.111,0.07177692061964
"Sdf4",2.34715965734194e-06,0.434096231265615,0.306,0.025,0.0728863488394393
"Cycs",2.44143482265494e-06,0.340179285859529,0.597,0.185,0.0758138755479037
"Chtf8",2.48415471997672e-06,0.432782654213522,0.306,0.025,0.077140456519437
"Pdcd4",2.50389827463075e-06,0.514025561587196,0.792,0.296,0.0777535531221086
"Eif3k",2.52781280109511e-06,0.444970849779268,0.75,0.321,0.0784961709124063
"Hist1h1e",2.57055980453132e-06,-1.61756187280776,0.056,0.358,0.0798235936101112
"Svbp",2.57262453198141e-06,0.445766643214541,0.5,0.123,0.0798877095916186
"Ppp2r3c",2.59146492525916e-06,0.383804841151952,0.333,0.037,0.0804727603240728
"4930447C04Rik",2.69272068311572e-06,-1.00598252971815,0.778,0.802,0.0836170553727925
"Cuta",2.74853351423597e-06,0.550722092084221,0.486,0.136,0.0853502112175697
"Idh3g",2.74853351423597e-06,0.313797531716202,0.5,0.123,0.0853502112175697
"Ddx18",2.78243738558913e-06,0.408970119079777,0.583,0.185,0.0864030281346993
"Dstn",2.81556462636823e-06,0.450711800081011,0.556,0.148,0.0874317283426128
"Dcun1d5",2.81638805766409e-06,0.391480874031438,0.708,0.259,0.0874572983546428
"Ccdc152",2.82366755593321e-06,0.326306151939131,0.639,0.198,0.0876833486143939
"Eloc",3.01936930843118e-06,0.316978648181857,0.667,0.235,0.0937604751347133
"Ndufs3",3.05402981132942e-06,0.474458108081404,0.653,0.235,0.0948367877312126
"Psma7",3.07851193283583e-06,0.433253444940219,0.681,0.247,0.095597031050351
"Anxa7",3.08092667508163e-06,0.444878471058228,0.278,0.012,0.0956720160413097
"Polr2e",3.18710504779732e-06,0.268119922301326,0.528,0.136,0.0989691730492502
"Fkbp4",3.25229885124559e-06,0.455435539339086,0.514,0.136,0.100993636227729
"Bex3",3.36235415492058e-06,0.320571875145634,0.514,0.148,0.104411183572749
"Atp5j",3.37145454214778e-06,0.44253367999464,0.903,0.42,0.104693777897315
"Slc25a5",3.48194786602488e-06,0.474703726497087,0.306,0.025,0.10812492708367
"1810043G02Rik",3.49246491457927e-06,0.445464691454977,0.347,0.049,0.10845151299243
"Rpl4",3.54792660516333e-06,0.390732693786768,0.986,0.802,0.110173764870137
"Ndufb4",3.58574562391038e-06,0.418024858354647,0.833,0.358,0.111348158859289
"Aig1",3.6000109208542e-06,0.618550898759129,0.264,0.012,0.111791139125285
"Ccnb2",3.62165456433815e-06,0.326277518618358,0.514,0.136,0.112463239186393
"Pcbp1",3.6930080097623e-06,0.50671140950901,0.444,0.086,0.114678977727149
"Tmem208",3.73573924569453e-06,0.423091666566461,0.403,0.074,0.116005910796552
"Lgals7",3.87225353692517e-06,0.619371631101866,0.347,0.049,0.120245089082137
"Rnf7",4.05962178266486e-06,0.266922981781982,0.556,0.173,0.126063435217092
"Bola3",4.06030045648765e-06,0.524345209860368,0.264,0.012,0.126084510075311
"Ndufa7",4.0747283779811e-06,0.514916455144707,0.889,0.432,0.126532540321447
"Tmem106c",4.1332066625745e-06,0.530237666016927,0.361,0.062,0.128348466492926
"Elof1",4.31919523311672e-06,0.455680551840821,0.444,0.099,0.134123969573974
"Ndufv1",4.3589900828279e-06,0.34170943545699,0.681,0.247,0.135359719042055
"Mat2a",4.40740502199596e-06,0.578432068839034,0.556,0.173,0.13686314814804
"Ndufs8",4.4594885386506e-06,0.501537489013077,0.333,0.049,0.138480497590717
"Polr2f",4.67005929563931e-06,0.49750195412758,0.764,0.333,0.145019351307488
"Ift22",4.75394240695799e-06,0.414385290517835,0.347,0.049,0.147624173563267
"Sec13",4.92663210112271e-06,0.45270075684565,0.292,0.025,0.152986706636164
